Lee,Shi Tian,Shi Tian Lee,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,5,3,1,39,Day 2,Worldly Counsel Heavy Play,Simic Omniscience,,,,,
Plummer,Michael,Michael Plummer,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,40,Day 2,Cosmos Heavy Play,Izzet Spellementals,,,,,
Nealston,Richard,Richard Nealston,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,41,Day 2,Rampant Growth,Mono-Green Landfall,,,,,
Wager,John,John Wager,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,42,Day 2,Rampant Growth,Azorius Tempo,,,,,
Depraz,Jean-Emmanuel,Jean-Emmanuel Depraz,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,3,1,0,43,Day 2,Undying Baguette,Izzet Prowess,,,,,
Liu,Yuchen,Yuchen Liu,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,6,4,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,3,2,0,44,Day 2,,Izzet Prowess,,,,,
Goetschel,Daniel,Daniel Goetschel,SOS,Standard,14,1/05/2026,1,0,2,4,0,2,0,2,0,0,8,2,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,5,2,1,45,Day 2,,Izzet Lessons,,,,,
Hu,Nathan,Nathan Hu,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,5,5,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,46,Day 2,,Jeskai Control,,,,,
Krueger,Will,Will Krueger,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,7,1,0,3,5,0,0,0,0,0,8,4,1,47,Day 2,TCGplayer,Izzet Prowess,,,,,
Roman,Patricio,Patricio Roman,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,4,2,0,48,Day 2,Main Phase,Mardu Discard,,,,,
Robb,Ian,Ian Robb,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,7,2,1,49,Day 2,Merlion,Izzet Lessons,,,,,
Yang,Yi,Yi Yang,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,5,5,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,4,3,0,50,Day 2,,Izzet Prowess,,,,,
Oya,Kazutaka,Kazutaka Oya,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,6,3,1,51,Day 2,(Small Japanese Team),Izzet Prowess,,,,,
Schnake,Abe,Abe Schnake,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,6,2,0,4,4,0,0,0,0,0,5,1,1,52,Day 2,Rampant Growth,Izzet Prowess,,,,,
Roylance,Tyson,Tyson Roylance,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,53,Day 2,Pillow Fort,Dimir Excruciator,,,,,
Shibata,Akira,Akira Shibata,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,0,1,0,6,4,0,10,6,0,10-6-0,4,4,0,6,4,0,0,0,0,0,5,2,1,54,Day 2,Moriyama Japan,Sultai Control,,,,,
Åstrand,David,David Åstrand,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,4,2,0,55,Day 2,Drawing Board,Mono-Green Landfall,,,,,
Gan,Steve,Steve Gan,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,5,3,1,56,Day 2,Sanctum of All,Izzet Spellementals,,,,,
Mullens,Ryan,Ryan Mullens,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,57,Day 2,,Izzet Prowess,,,,,
Kurtzman,Etai,Etai Kurtzman,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,5,1,1,58,Day 2,Rampant Growth,Izzet Prowess,,,,,
Young,Jack,Jack Young,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,5,2,1,59,Day 2,,Izzet Prowess,,,,,
Smith,Pierre,Pierre Smith,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,5,2,1,60,Day 2,Rampant Growth,Izzet Prowess,,,,,
Straub,Devon,Devon Straub,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,6,3,1,61,Day 2,Rampant Growth,Izzet Prowess,,,,,
Verdierre,Gaétan,Gaétan Verdierre,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,3,2,0,62,Day 2,Undying Baguette,Mono-Green Landfall,,,,,
Odenheimer,Nicholas,Nicholas Odenheimer,SOS,Standard,14,1/05/2026,1,0,2,4,0,2,0,2,0,0,8,2,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,4,3,0,63,Day 2,Worldly Counsel Heavy Play,Izzet Prowess,,,,,
De Gaetano,Carlo,Carlo De Gaetano,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,6,4,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,2,2,0,64,Day 2,Little Italy,Izzet Lessons,,,,,
Wylde-LaRue,Tristan,Tristan Wylde-LaRue,SOS,Standard,14,1/05/2026,1,0,2,4,0,2,1,1,0,1,8,2,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,6,3,1,65,Day 2,Handshake Moxfield,Mono-Green Landfall,,,,,
Schwendinger,Lukas,Lukas Schwendinger,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,5,5,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,3,2,0,66,Day 2,Lingering Souls,Mono-Red Aggro,,,,,
Bishara,Mikey,Mikey Bishara,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,6,4,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,6,2,1,67,Day 2,Drawing Board,Izzet Prowess,,,,,
Hara,Koki,Koki Hara,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,5,2,1,68,Day 2,Tase,Bant Rhythm,,,,,
Porojan,Raul,Raul Porojan,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,7,3,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,4,2,0,69,Day 2,Drawing Board,Selesnya Rhythm,,,,,
Wosner,Marcus,Marcus Wosner,SOS,Standard,14,1/05/2026,1,0,2,4,0,2,0,2,0,0,8,2,0,10,6,0,10-6-0,4,4,0,6,2,0,0,0,0,0,5,2,1,70,Day 2,Drawing Board,Mono-Green Landfall,,,,,
Chen,Xinrong,Xinrong Chen,SOS,Standard,14,1/05/2026,1,0,2,3,1,2,0,1,0,0,7,3,0,9,6,1,9-6-1,5,3,0,4,3,1,0,0,0,0,4,2,0,71,Day 2,,Izzet Prowess,,,,,
Beitler,Jon,Jon Beitler,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,6,3,1,9,6,1,9-6-1,4,3,1,5,3,0,0,0,0,0,3,2,0,72,Day 2,,Mono-Green Landfall,,,,,
Mullen,Collins,Collins Mullen,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,5,5,0,9,7,0,9-7-0,6,2,0,3,5,0,0,0,0,0,5,2,1,73,Day 2,Merlion,Mono-Green Landfall,,,,,
Ichikawa,Yuuki,Yuuki Ichikawa,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,5,5,0,9,7,0,9-7-0,4,4,0,5,3,0,0,0,0,0,4,3,0,74,Day 2,Moriyama Japan,Izzet Spellementals,,,,,
Morales Macaya,Nicolás,Nicolás Morales Macaya,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,6,4,0,9,7,0,9-7-0,6,2,0,3,5,0,0,0,0,0,3,2,0,75,Day 2,,Mono-Green Landfall,,,,,
Oomkes,Matthew,Matthew Oomkes,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,4,6,0,9,7,0,9-7-0,5,3,0,4,4,0,0,0,0,0,4,4,0,76,Day 2,The Coalition,Four-Color Elementals,,,,,
Queralt Garriga,Albert,Albert Queralt Garriga,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,5,5,0,9,7,0,9-7-0,5,3,0,4,4,0,0,0,0,0,3,1,0,77,Day 2,Pluto,Izzet Prowess,,,,,
Willis,Joshua,Joshua Willis,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,5,5,0,9,7,0,9-7-0,5,3,0,4,4,0,0,0,0,0,3,2,0,78,Day 2,Rampant Growth,Izzet Prowess,,,,,
Kidston,Andrew,Andrew Kidston,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,5,5,0,9,7,0,9-7-0,4,4,0,5,3,0,0,0,0,0,3,3,0,79,Day 2,,Selesnya Rhythm,,,,,
Perry,Gavin,Gavin Perry,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,5,5,0,9,7,0,9-7-0,5,3,0,4,4,0,0,0,0,0,4,3,0,80,Day 2,No Team,Azorius Momo,,,,,
Chen,Yang,Yang Chen,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,1,1,6,4,0,9,7,0,9-7-0,6,2,0,3,5,0,0,0,0,0,4,4,0,81,Day 2,,Izzet Prowess,,,,,
Sigrist,Mike,Mike Sigrist,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,4,6,0,9,7,0,9-7-0,5,3,0,4,4,0,0,0,0,0,4,3,0,82,Day 2,TCGplayer,Izzet Prowess,,,,,
